Artnamn;Antal;Enhet;Antal substrat;Ålder-Stadium;Kön;Aktivitet;Metod;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Djup min;Djup max;Höjd min;Höjd max;Startdatum;Starttid;Slutdatum;Sluttid;Publik kommentar;Intressant kommentar;Privat kommentar;Ej återfunnen;Dölj fyndet t.o.m.;Andrahand;Osäker artbestämning;Ospontan;Biotop;Biotop-beskrivning;Art som substrat;Art som substrat beskrivning;Substrat;Substrat-beskrivning;Offentlig samling;Privat samling;Samlings-nummer;Bestämningsmetod;Artbestämd av;Artbestämd av (fritext);Bestämningsår;Beskrivning artbestämning;Bekräftad av;Bekräftad av (fritext);Bekräftelseår;Länk till BOLD/GenBank;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Externid;Ej funnen
;1;;;;;;;Imported locality 6;619361;7214671;10 m;;;;327;;2026-07-30;11:04;;;;;;;;;;;;;;;;;;Nils Ericson;NE31-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 6;619361;7214671;10 m;;;;327;;2026-07-30;11:04;;;;;;;;;;;;;;;;;;Nils Ericson;NE31-4;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 5;618935;7214774;10 m;;;;348;;2026-07-30;11:48;;;;;;;;;;;;;;;;;;Nils Ericson;NE32;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 4;618538;7214130;10 m;;;;381;;2026-07-31;10:37;;;;;;;;;;;;;;;;;;Nils Ericson;NE33;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 4;618538;7214130;10 m;;;;381;;2026-07-31;10:37;;;;;;;;;;;;;;;;;;Nils Ericson;NE33-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 4;618538;7214130;10 m;;;;381;;2026-07-31;10:37;;;;;;;;;;;;;;;;;;Nils Ericson;NE33-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 4;618538;7214130;10 m;;;;381;;2026-07-31;10:37;;;;;;;;;;;;;;;;;;Nils Ericson;NE33-4;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 4;618538;7214130;10 m;;;;381;;2026-07-31;10:37;;;;;;;;;;;;;;;;;;Nils Ericson;NE33-5;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 3;618566;7214132;10 m;;;;382;;2026-07-31;10:44;;;;;;;;;;;;;;;;;;Nils Ericson;NE34;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 3;618566;7214132;10 m;;;;382;;2026-07-31;10:44;;;;;;;;;;;;;;;;;;Nils Ericson;NE34-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
